chain_symbol,expiration_date,strike_price,option_type,side,order_created_at,direction,order_quantity,order_type,opening_strategy,closing_strategy,price,processed_quantity
AYX,2020-09-18,130.0000,call,buy,2020-08-11T16:43:57.246222Z,debit,1.00000,limit,long_call,,4.55000000,1.00000
ADBE,2020-08-14,440.0000,call,sell,2020-08-11T15:10:42.589032Z,credit,1.00000,limit,,long_call,5.70000000,1.00000
ADBE,2020-08-14,440.0000,call,buy,2020-08-11T14:56:27.693528Z,debit,1.00000,limit,long_call,,4.05000000,1.00000
FSLY,2020-09-18,95.0000,call,sell,2020-08-11T14:09:23.339833Z,credit,1.00000,limit,,long_call,3.40000000,1.00000
SQ,2020-09-18,150.0000,call,buy,2020-08-10T19:50:43.708621Z,debit,1.00000,limit,long_call,,6.45000000,1.00000
MSFT,2020-08-21,215.0000,call,sell,2020-08-10T19:49:10.646816Z,credit,2.00000,limit,,long_call,1.88000000,2.00000
MSFT,2020-08-21,215.0000,call,buy,2020-08-10T18:59:16.367769Z,debit,2.00000,limit,long_call,,1.82000000,2.00000
NVDA,2020-09-18,500.0000,call,buy,2020-08-10T15:12:19.326245Z,debit,1.00000,limit,long_call,,9.80000000,1.00000
BA,2020-09-11,200.0000,call,buy,2020-08-07T19:45:02.364335Z,debit,1.00000,limit,long_call,,3.80000000,1.00000
V,2020-09-18,205.0000,call,buy,2020-08-07T18:51:08.238497Z,debit,1.00000,limit,long_call,,3.10000000,1.00000
FSLY,2020-09-18,95.0000,call,buy,2020-08-07T16:10:14.243018Z,debit,1.00000,limit,long_call,,5.40000000,1.00000
SPY,2020-08-07,334.0000,put,sell,2020-08-07T14:48:03.858734Z,credit,1.00000,limit,,long_put,0.62000000,1.00000
SPY,2020-08-07,326.0000,put,sell,2020-08-07T14:47:41.706255Z,credit,1.00000,limit,,long_put,0.03000000,1.00000
TDOC,2020-08-14,220.0000,call,sell,2020-08-07T14:47:34.839788Z,credit,2.00000,limit,,long_call,3.10000000,2.00000
TLT,2020-08-21,175.0000,call,sell,2020-08-07T14:47:23.524864Z,credit,2.00000,limit,,long_call,0.49000000,2.00000
TEAM,2020-08-14,180.0000,call,sell,2020-08-07T14:47:14.633044Z,credit,3.00000,limit,,long_call,2.05000000,3.00000
FSLY,2020-08-14,100.0000,call,sell,2020-08-07T14:47:05.473031Z,credit,4.00000,limit,,long_call,0.70000000,4.00000
FSLY,2020-08-14,100.0000,call,buy,2020-08-07T13:32:27.389089Z,debit,1.00000,limit,long_call,,1.60000000,1.00000
SPY,2020-08-07,334.0000,put,buy,2020-08-06T19:25:42.725896Z,debit,1.00000,limit,long_put,,1.38000000,1.00000
FSLY,2020-08-14,100.0000,call,buy,2020-08-06T19:05:33.288020Z,debit,1.00000,limit,long_call,,2.10000000,1.00000
TLT,2020-08-21,175.0000,call,buy,2020-08-06T18:23:34.972207Z,debit,2.00000,limit,long_call,,0.68000000,2.00000
FSLY,2020-08-14,100.0000,call,buy,2020-08-06T17:36:36.477146Z,debit,1.00000,limit,long_call,,2.60000000,1.00000
TDOC,2020-08-14,220.0000,call,buy,2020-08-06T17:33:39.919456Z,debit,1.00000,limit,long_call,,5.30000000,1.00000
FSLY,2020-08-14,100.0000,call,buy,2020-08-06T17:32:28.669934Z,debit,1.00000,limit,long_call,,2.75000000,1.00000
TEAM,2020-08-14,180.0000,call,buy,2020-08-06T16:32:15.715966Z,debit,1.00000,limit,long_call,,2.95000000,1.00000
TDOC,2020-08-14,220.0000,call,buy,2020-08-06T14:03:17.330007Z,debit,1.00000,limit,long_call,,7.80000000,1.00000
DDOG,2020-08-21,95.0000,call,sell,2020-08-06T13:56:13.252345Z,credit,1.00000,limit,,long_call,5.40000000,1.00000
TEAM,2020-08-14,180.0000,call,buy,2020-08-06T13:51:56.910288Z,debit,1.00000,limit,long_call,,3.50000000,1.00000
TDOC,2020-08-14,220.0000,call,sell,2020-08-06T13:36:01.037368Z,credit,1.00000,limit,,long_call,7.30000000,1.00000
SPY,2020-08-07,330.0000,put,buy,2020-08-05T19:11:49.900258Z,debit,1.00000,limit,long_put,,1.00000000,1.00000
TDOC,2020-08-14,220.0000,call,buy,2020-08-05T18:43:22.077450Z,debit,1.00000,limit,long_call,,5.80000000,1.00000
